product_id,product_name,category,product_price
0,Digital Camera,Tools & Automotive,410.02
1,Air Fryer,Personal Accessories,354.89
2,Treadmill,Tools & Automotive,943.14
3,Car Air Freshener,Furniture,815.08
4,Wireless Headphones,Home Appliances,152.41
5,Canoe,Home Appliances,896.59
6,Yoga Mat,Tools & Automotive,208.95
7,Humidifier,Sports & Fitness,763.93
8,Webcam,Tools & Automotive,102.88
9,Action Camera,Furniture,456.24
10,Binoculars,Furniture,42.88
11,Car Charger,Furniture,244.11
12,Tent,Home Appliances,422.11
13,Skateboard,Gardening & Outdoor,273.83
14,Skateboard,Furniture,134.85
15,Wall Clock,Gardening & Outdoor,694.01
16,Planting Pot Set,Home Decor,714.66
17,Notebook,Home Appliances,418.09
18,Binoculars,Home Decor,506.93
19,Desk Organizer,Furniture,838.98
20,Planting Pot Set,Electronics,469.06
21,Wall Clock,Travel & Camping,998.16
22,E-reader,Tools & Automotive,641.64
23,Picture Frame,Personal Accessories,519.16
24,Binoculars,Home Appliances,573.97
25,Electric Kettle,Personal Accessories,376.96
26,Headphone Stand,Electronics,563.2
27,Notebook,Electronics,100.11
28,Cordless Drill,Travel & Camping,378.8
29,Tablet Stand,Electronics,913.85
30,Hammock,Personal Accessories,205.64
31,Cable Organizer,Furniture,624.56
32,Yoga Mat,Personal Accessories,119.42
33,Espresso Machine,Office Supplies,736.37
34,Tire Inflator,Home Appliances,267.24
35,Water Bottle,Furniture,609.47
36,Fishing Rod,Travel & Camping,386.13
37,Desk Lamp,Gardening & Outdoor,537.29
38,Diffuser,Furniture,853.04
39,Handheld Garment Steamer,Office Supplies,826.34
40,Tire Inflator,Gardening & Outdoor,948.68
41,Standing Desk,Sports & Fitness,39.56
42,Water Bottle,Sports & Fitness,283.41
43,Projector,Tools & Automotive,527.37
44,Screen Protector,Home Decor,688.52
45,Wireless Keyboard,Furniture,734.66
46,Wireless Keyboard,Travel & Camping,459.41
47,Dining Table,Personal Accessories,314.74
48,Folding Chair,Office Supplies,361.5
49,Solar-Powered Garden Lights,Office Supplies,331.33
50,Air Fryer,Office Supplies,95.39
51,Drone,Home Appliances,289.61
52,Handheld Garment Steamer,Travel & Camping,631.43
53,Air Fryer,Home Decor,401.4
54,E-reader,Electronics,483.14
55,4K UHD Monitor,Personal Accessories,791.5
56,Mesh Wi-Fi System,Sports & Fitness,497.55
57,Smart Lock,Tools & Automotive,242.01
58,Wireless Keyboard,Electronics,80.79
59,Drone,Travel & Camping,536.67
60,Hammock,Personal Accessories,376.12
61,E-reader,Sports & Fitness,329.98
62,Smartwatch,Home Decor,595.37
63,Espresso Machine,Home Appliances,943.44
64,Smart Lock,Travel & Camping,674.47
65,Area Rug,Sports & Fitness,189.39
66,Handheld Garment Steamer,Electronics,394.77
67,Humidifier,Gardening & Outdoor,94.44
68,Wall Clock,Office Supplies,266.06
69,Planting Pot Set,Home Decor,771.71
70,Calculator,Personal Accessories,654.18
71,Desk Lamp,Travel & Camping,656.4
72,Espresso Machine,Sports & Fitness,990.51
73,Outdoor Grill,Gardening & Outdoor,521.48
74,Tire Inflator,Electronics,383.8
75,Cordless Drill,Gardening & Outdoor,966.98
76,Robotic Vacuum Cleaner,Gardening & Outdoor,791.05
77,Car Air Freshener,Home Appliances,496.48
78,Security Camera,Home Decor,204.95
79,Robotic Vacuum Cleaner,Tools & Automotive,223.7
80,Wireless Charger,Personal Accessories,848.15
81,Planting Pot Set,Tools & Automotive,593.31
82,Wireless Headphones,Tools & Automotive,355.71
83,Skateboard,Sports & Fitness,669.01
84,Blender,Home Decor,621.85
85,Desk Organizer,Sports & Fitness,496.83
86,Stapler,Sports & Fitness,762.86
87,Lawn Mower,Electronics,329.51
88,Canoe,Furniture,922.49
89,Robotic Vacuum Cleaner,Home Decor,129.39
90,Jack Stand,Sports & Fitness,79.53
91,Pop Socket,Furniture,733.14
92,Tire Inflator,Travel & Camping,460.38
93,Dumbbell Set,Sports & Fitness,410.01
94,Smart Lock,Furniture,514.02
95,Hiking Boots,Tools & Automotive,819.67
96,Wireless Headphones,Furniture,329.59
97,Calculator,Home Appliances,347.7
98,Bookshelf,Furniture,607.63
99,Tent,Electronics,192.28
100,Digital Camera,Travel & Camping,419.38
101,Treadmill,Electronics,870.71
102,Digital Camera,Gardening & Outdoor,318.15
103,Portable Bluetooth Speaker,Home Appliances,45.95
104,Skateboard,Home Appliances,210.83
105,Drone,Sports & Fitness,626.74
106,Smart Lock,Sports & Fitness,68.62
107,Water Bottle,Tools & Automotive,522.74
108,Smart Lock,Home Decor,92.99
109,External Hard Drive,Gardening & Outdoor,638.01
110,Throw Pillow,Furniture,584.69
111,Patio Umbrella,Furniture,631.25
112,Picture Frame,Home Decor,175.24
113,Gaming Mouse,Travel & Camping,446.78
114,Desk Lamp,Sports & Fitness,183.43
115,Yoga Mat,Home Decor,764.09
116,Dash Cam,Personal Accessories,153.15
117,Soundbar,Office Supplies,355.03
118,Handheld Garment Steamer,Gardening & Outdoor,667.37
119,Microphone,Gardening & Outdoor,735.57
120,Planting Pot Set,Office Supplies,733.41
121,Handheld Garment Steamer,Tools & Automotive,184.04
122,Folding Chair,Office Supplies,792.39
123,Ring Light,Personal Accessories,659.3
124,Toaster Oven,Gardening & Outdoor,585.47
125,Action Camera,Home Decor,530.76
126,Air Purifier,Sports & Fitness,660.33
127,Air Purifier,Travel & Camping,847.82
128,Air Fryer,Office Supplies,643.62
129,Air Compressor,Electronics,294.11
130,Garden Hose,Office Supplies,837.09
131,Security Camera,Home Appliances,323.6
132,Toaster Oven,Home Appliances,897.93
133,Wireless Keyboard,Electronics,322.16
134,Jumper Cables,Travel & Camping,880.97
135,Wireless Charger,Home Decor,698.02
136,Handheld Garment Steamer,Sports & Fitness,115.23
137,Digital Camera,Office Supplies,881.78
138,Car Seat Cover,Home Appliances,43.84
139,Dining Table,Electronics,131.07
140,Outdoor Grill,Home Appliances,95.17
141,Air Purifier,Office Supplies,421.88
142,Jump Rope,Sports & Fitness,92.26
143,Weighted Blanket,Home Appliances,792.69
144,Cable Organizer,Office Supplies,355.3
145,Tire Inflator,Travel & Camping,717.98
146,Charging Dock,Sports & Fitness,458.4
147,Pen Set,Tools & Automotive,310.62
148,USB Hub,Personal Accessories,414.0
149,Handheld Garment Steamer,Home Appliances,180.17
150,Calculator,Home Decor,680.69
151,Wall Clock,Personal Accessories,135.95
152,Tripod,Electronics,617.66
153,Digital Camera,Gardening & Outdoor,864.91
154,Air Compressor,Personal Accessories,138.96
155,Handheld Garment Steamer,Electronics,548.35
156,Tire Inflator,Home Decor,477.08
157,Dumbbell Set,Furniture,576.78
158,Charging Dock,Sports & Fitness,519.44
159,Cable Organizer,Gardening & Outdoor,918.13
160,Handheld Garment Steamer,Personal Accessories,814.48
161,Car Air Freshener,Home Appliances,950.93
162,Cordless Drill,Travel & Camping,65.9
163,Pressure Washer,Gardening & Outdoor,491.66
164,Dash Cam,Electronics,955.36
165,Wall Clock,Personal Accessories,30.35
166,Webcam,Furniture,962.96
167,Coffee Maker,Home Appliances,17.26
168,Ring Light,Tools & Automotive,920.64
169,Bedside Lamp,Sports & Fitness,309.36
170,Security Camera,Office Supplies,926.16
