product_id,product_name,category,product_price
0,Coffee Maker,Furniture,417.96
1,Fishing Rod,Tools & Automotive,171.94
2,Tent,Electronics,342.58
3,Planting Pot Set,Home Appliances,976.75
4,Picture Frame,Travel & Camping,136.65
5,Mesh Wi-Fi System,Electronics,505.56
6,Projector,Furniture,203.46
7,Security Camera,Sports & Fitness,606.42
8,Lawn Mower,Tools & Automotive,488.3
9,E-reader,Sports & Fitness,477.64
10,Toolbox,Home Decor,787.04
11,Ring Light,Electronics,149.92
12,Standing Desk,Furniture,387.75
13,Ergonomic Office Chair,Furniture,598.16
14,Pen Set,Tools & Automotive,835.95
15,Ring Light,Furniture,948.8
16,Garden Hose,Office Supplies,412.99
17,Pressure Gauge,Home Decor,235.45
18,Electric Kettle,Home Appliances,735.38
19,Resistance Bands,Electronics,671.14
20,Outdoor Grill,Furniture,55.4
21,Screen Protector,Personal Accessories,551.62
22,Planting Pot Set,Office Supplies,971.36
23,Ergonomic Office Chair,Electronics,76.96
24,Humidifier,Office Supplies,167.69
25,Hammock,Sports & Fitness,692.07
26,Binoculars,Tools & Automotive,348.95
27,Cable Organizer,Tools & Automotive,861.32
28,Floor Lamp,Tools & Automotive,72.19
29,Webcam,Home Appliances,36.74
30,Wall Clock,Sports & Fitness,560.48
31,Bedside Lamp,Home Appliances,567.47
32,Air Compressor,Travel & Camping,573.28
33,Tire Inflator,Electronics,409.48
34,Screen Protector,Home Appliances,688.69
35,Action Camera,Office Supplies,111.33
36,Sleeping Bag,Furniture,898.76
37,Charging Dock,Travel & Camping,375.81
38,Digital Camera,Furniture,50.34
39,Stapler,Home Decor,773.81
40,Jack Stand,Gardening & Outdoor,488.29
41,Smartwatch,Office Supplies,576.86
42,Notebook,Home Decor,31.58
43,Calculator,Home Decor,909.08
44,Wireless Charger,Furniture,184.53
45,Digital Camera,Electronics,195.2
46,Ergonomic Office Chair,Sports & Fitness,836.25
47,Jumper Cables,Personal Accessories,999.79
48,Screen Protector,Electronics,836.39
49,4K UHD Monitor,Sports & Fitness,559.24
50,Floor Mats,Personal Accessories,211.63
51,Wireless Keyboard,Tools & Automotive,119.33
52,Yoga Mat,Home Appliances,190.29
53,Toolbox,Sports & Fitness,360.0
54,Dining Table,Home Appliances,249.73
55,Wireless Headphones,Furniture,670.99
56,4K UHD Monitor,Sports & Fitness,657.56
57,Drone,Electronics,100.03
58,Bedside Lamp,Travel & Camping,616.6
59,E-reader,Personal Accessories,879.55
60,Sofa Bed,Gardening & Outdoor,817.87
61,Projector,Sports & Fitness,794.39
62,4K UHD Monitor,Home Decor,314.82
63,Patio Umbrella,Electronics,994.36
64,Coffee Maker,Personal Accessories,443.8
65,Garden Hose,Travel & Camping,12.87
66,Notebook,Office Supplies,227.44
67,Smartwatch,Electronics,455.3
68,Cordless Drill,Tools & Automotive,632.54
69,Floor Mats,Tools & Automotive,517.75
70,Air Fryer,Tools & Automotive,946.02
71,Headphone Stand,Sports & Fitness,453.93
72,Smart Thermostat,Home Decor,66.87
73,Throw Pillow,Home Appliances,867.71
74,Throw Pillow,Furniture,546.32
